"source_repository","source_sha","source_path","current_target","capability","disposition","proposed_destination","phase","dependencies","tests","deletion_gate"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/TestInferenceViewModel.swift","JANGStudio","duplicate test inference UI","retire","-","15","InferenceRunner","vMLX Quick Compare validation smoke","vMLX provider evaluation parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/UsageExamplesSheet.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/UsageExamplesSheet.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/WizardCoordinator.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/WizardCoordinator.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/AdoptionServicesTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/AdoptionServicesTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/AppSettingsTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/AppSettingsTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/BundleResolverTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/BundleResolverTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/CLIArgsBuilderTests.swift","JANGStudio tests","migration/parity fixture","adapt","tests/MLXStudioOptimizationTests/PythonJANGWorkerTests.swift","8","MLXStudioOptimization","deterministic command fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/CapabilitiesServiceTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/CapabilitiesServiceTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/ChatMessageTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/ChatMessageTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/ConversionPlanTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/ConversionPlanTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/CoverageMatrixTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/CoverageMatrixTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/DiagnosticsBundleTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/DiagnosticsBundleTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/ExpertLabWorkflowFlowTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/ExpertLabWorkflowFlowTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/ExpertPrunePlanBuilderTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/ExpertPrunePlanBuilderTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/InferenceRunnerTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/InferenceRunnerTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/JSONLProgressParserTests.swift","JANGStudio tests","migration/parity fixture","adapt","tests/MLXStudioOptimizationTests/PythonJANGWorkerTests.swift","8","MLXStudioOptimization","golden JSONL and version rejection","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/PostConvertVerifierTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/PostConvertVerifierTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/PreflightRunnerTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/PreflightRunnerTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/ProfilesServiceTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/ProfilesServiceTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/PythonCLIInvokerTests.swift","JANGStudio tests","migration/parity fixture","adapt","tests/MLXStudioOptimizationTests/PythonJANGWorkerTests.swift","8","MLXStudioOptimization","version diagnostics and bounded redaction tests","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/PythonRunnerTests.swift","JANGStudio tests","migration/parity fixture","adapt","tests/MLXStudioOptimizationTests/PythonJANGWorkerTests.swift","8","MLXStudioOptimization;MLXStudioPersistence","cancel escalation partial-output durable job tests","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/QuantizationGuidanceTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/QuantizationGuidanceTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/RecommendationServiceTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/RecommendationServiceTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioTests/WizardStepContinueGateTests.swift","JANGStudio tests","migration/parity fixture","move","Tests/Integration/JANGStudio/WizardStepContinueGateTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/Tests/JANGStudioUITests/WizardFlowTests.swift","JANGStudio tests","migration/parity fixture","move","JANGStudio/Tests/JANGStudioUITests/WizardFlowTests.swift","7-20","migrated services","swift tests and golden fixtures","retire only with superseding fixture"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/DeepseekV4JANGTQ.swift","JANG","JANG format/trace","reference","Sources/JANGCore/DeepseekV4JANGTQ.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/ExpertTracing.swift","JANG","JANG format/trace","reference","Sources/JANGCore/ExpertTracing.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANG.swift","JANG","JANG format/trace","reference","Sources/JANGCore/JANG.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGConfig.swift","JANG","JANG format/trace","reference","Sources/JANGCore/JANGConfig.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGInference.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGInference.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGLoader.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGLoader.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGSampler.swift","JANG","JANG format/trace","reference","Sources/JANGCore/JANGSampler.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQAttentionBlock.swift","JANG","JANG format/trace","reference","Sources/JANGCore/JANGTQAttentionBlock.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQDecoderEngine.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGTQDecoderEngine.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQGenerator.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGTQGenerator.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQLinearAttentionBlock.swift","JANG","JANG format/trace","reference","Sources/JANGCore/JANGTQLinearAttentionBlock.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQLoader.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGTQLoader.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQMoEBlock.swift","JANG","JANG format/trace","reference","Sources/JANGCore/JANGTQMoEBlock.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQModel.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGTQModel.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTQTokenizer.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGTQTokenizer.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/JANGTokenizer.swift","JANG","duplicate JANG inference/runtime","reference","Documentation/Reference/JANGRuntime/JANGTokenizer.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","provider parity and no production imports"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANG/SafetensorsReader.swift","JANG","JANG format/trace","reference","Sources/JANGCore/SafetensorsReader.swift","5-7","JANGMetal;JANGCoreMetal","vMLX load generation trace parity","format parity before retirement"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCLI/main.swift","JANG CLI","diagnostic CLI","reference","Workers/jang-tools/Reference/main.swift","8","JANG runtime","CLI golden tests","after equivalent diagnostics exist"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/BitInference.swift","JANGCore","artifact format/index","move","Sources/JANGCore/BitInference.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/ExpertBlob.swift","JANGCore","artifact format/index","move","Sources/JANGCore/ExpertBlob.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/ExpertIndex.swift","JANGCore","artifact format/index","move","Sources/JANGCore/ExpertIndex.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/ExpertStore.swift","JANGCore","artifact format/index","move","Sources/JANGCore/ExpertStore.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/HotCoreLoader.swift","JANGCore","artifact format/index","move","Sources/JANGCore/HotCoreLoader.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/JANGCore.swift","JANGCore","artifact format/index","move","Sources/JANGCore/JANGCore.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/JangSpecBundle.swift","JANGCore","artifact format/index","move","Sources/JANGCore/JangSpecBundle.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/JangSpecError.swift","JANGCore","artifact format/index","move","Sources/JANGCore/JangSpecError.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/JangSpecFormat.swift","JANGCore","artifact format/index","move","Sources/JANGCore/JangSpecFormat.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/JangSpecManifest.swift","JANGCore","artifact format/index","move","Sources/JANGCore/JangSpecManifest.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/QuantizedTensorView.swift","JANGCore","artifact format/index","move","Sources/JANGCore/QuantizedTensorView.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCore/SafetensorsV2.swift","JANGCore","artifact format/index","move","Sources/JANGCore/SafetensorsV2.swift","2-7","Foundation","format manifest index golden tests","never if canonical format primitive"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCoreMetal/JANGCoreMetal.swift","JANGCoreMetal","JANG Metal kernels","adapt","Sources/JANGMetal/JANGCoreMetal.swift","7","JANGCore;Metal","kernel golden/performance/error parity","vMLX kernel audit and replacement parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","jang-runtime/Sources/JANGCoreMetal/JANGTQAffine8Matmul.metal","JANGCoreMetal","JANG Metal kernels","adapt","Sources/JANGMetal/JANGTQAffine8Matmul.metal","7","JANGCore;Metal","kernel golden/performance/error parity","vMLX kernel audit and replacement parity"
